tvl_file_name,tvl_license_number,tvl_predict_pct,tvl_label,tvl_confidence,tvl_latitude,tvl_longitude,tvl_remark,metode,tvl_capture_datetime
DataVideo\A1206YV.mp4,206T,0,,0,0,0,,Small,2025-07-15 13:32:46
DataVideo\A1206YV.mp4,A20SV,0,,0,0,0,,Small,2025-07-15 13:32:47
DataVideo\A1206YV.mp4,A206V,0,,0,0,0,,Small,2025-07-15 13:32:48
DataVideo\A1206YV.mp4,A206V,0,,0,0,0,,Small,2025-07-15 13:32:49
DataVideo\A1206YV.mp4,A206V,0,,0,0,0,,Small,2025-07-15 13:32:50
DataVideo\A1206YV.mp4,A3206V,0,,0,0,0,,Small,2025-07-15 13:32:50
DataVideo\A1206YV.mp4,A1206V,0,,0,0,0,,Small,2025-07-15 13:32:51
DataVideo\A1206YV.mp4,A1206V,0,,0,0,0,,Small,2025-07-15 13:32:51
DataVideo\A1206YV.mp4,A206V,0,,0,0,0,,Small,2025-07-15 13:32:52
DataVideo\A1206YV.mp4,A2067V,0,,0,0,0,,Small,2025-07-15 13:32:53
DataVideo\A1206YV.mp4,A206V,0,,0,0,0,,Small,2025-07-15 13:32:53
DataVideo\A1206YV.mp4,A3206YV,0,,0,0,0,,Small,2025-07-15 13:32:54
DataVideo\A1206YV.mp4,AG206YV,0,,0,0,0,,Small,2025-07-15 13:32:55
DataVideo\A1206YV.mp4,AG206YV,0,,0,0,0,,Small,2025-07-15 13:32:55
DataVideo\A1206YV.mp4,AG206YV,0,,0,0,0,,Small,2025-07-15 13:32:56
DataVideo\A1206YV.mp4,AG206YV,0,,0,0,0,,Small,2025-07-15 13:32:56
DataVideo\A1206YV.mp4,AG206YU,0,,0,0,0,,Small,2025-07-15 13:32:57
DataVideo\A1206YV.mp4,A206Y,0,,0,0,0,,Small,2025-07-15 13:32:57
DataVideo\A1206YV.mp4,AG206YU,0,,0,0,0,,Small,2025-07-15 13:32:58
DataVideo\A1206YV.mp4,AG206Y,0,,0,0,0,,Small,2025-07-15 13:32:59
DataVideo\A1206YV.mp4,AG206Y,0,,0,0,0,,Small,2025-07-15 13:32:59
DataVideo\A1206YV.mp4,AG206YU,0,,0,0,0,,Small,2025-07-15 13:33:00
DataVideo\A1206YV.mp4,A206YV,0,,0,0,0,,Small,2025-07-15 13:33:01
DataVideo\A1206YV.mp4,A206YU,0,,0,0,0,,Small,2025-07-15 13:33:01
DataVideo\A1206YV.mp4,A2G6YV,0,,0,0,0,,Small,2025-07-15 13:33:02
DataVideo\A1206YV.mp4,A206YU,0,,0,0,0,,Small,2025-07-15 13:33:03
DataVideo\A1206YV.mp4,AA2G6YV,0,,0,0,0,,Small,2025-07-15 13:33:03
DataVideo\A1206YV.mp4,A266YV,0,,0,0,0,,Small,2025-07-15 13:33:04
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:05
DataVideo\A1206YV.mp4,A12G6YV,0,,0,0,0,,Small,2025-07-15 13:33:05
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:06
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:06
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:07
DataVideo\A1206YV.mp4,A1206YU,0,,0,0,0,,Small,2025-07-15 13:33:08
DataVideo\A1206YV.mp4,A1206YU,0,,0,0,0,,Small,2025-07-15 13:33:08
DataVideo\A1206YV.mp4,A1206YU,0,,0,0,0,,Small,2025-07-15 13:33:09
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:10
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:11
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:11
DataVideo\A1206YV.mp4,A,0,,0,0,0,,Small,2025-07-15 13:33:12
DataVideo\A1206YV.mp4,A1206YU,0,,0,0,0,,Small,2025-07-15 13:33:13
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:14
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:15
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:16
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:16
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:17
DataVideo\A1206YV.mp4,A1206YU,0,,0,0,0,,Small,2025-07-15 13:33:18
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:19
DataVideo\A1206YV.mp4,A,0,,0,0,0,,Small,2025-07-15 13:33:20
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:21
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:21
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:22
DataVideo\A1206YV.mp4,A1206YV,0,,0,0,0,,Small,2025-07-15 13:33:23
DataVideo\A1206YV.mp4,A,0,,0,0,0,,Small,2025-07-15 13:33:24
DataVideo\A1206YV.mp4,A,0,,0,0,0,,Small,2025-07-15 13:33:25
DataVideo\A1206YV.mp4,92O6,0,,0,0,0,,Small,2025-07-15 13:33:26
DataVideo\A1206YV.mp4,92O6,0,,0,0,0,,Small,2025-07-15 13:33:27
DataVideo\A1206YV.mp4,92O6,0,,0,0,0,,Small,2025-07-15 13:33:28
DataVideo\A1206YV.mp4,013O,0,,0,0,0,,Small,2025-07-15 13:33:28
DataVideo\A1206YV.mp4,A6X,0,,0,0,0,,Small,2025-07-15 13:33:29
DataVideo\A1206YV.mp4,6E4,0,,0,0,0,,Small,2025-07-15 13:33:34
DataVideo\A1206YV.mp4,6E4,0,,0,0,0,,Small,2025-07-15 13:33:35
DataVideo\A1206YV.mp4,6E4,0,,0,0,0,,Small,2025-07-15 13:33:35
DataVideo\A1206YV.mp4,6E4,0,,0,0,0,,Small,2025-07-15 13:33:36
DataVideo\A1206YV.mp4,6E4,0,,0,0,0,,Small,2025-07-15 13:33:36
DataVideo\A3759XAC.mp4,XA,0,,0,0,0,,Small,2025-07-15 13:33:52
DataVideo\A3759XAC.mp4,A3759XAC,0,,0,0,0,,Small,2025-07-15 13:33:53
DataVideo\A3759XAC.mp4,A3759XAC,0,,0,0,0,,Small,2025-07-15 13:34:04
DataVideo\A4574WAD.mp4,A574WAD,0,,0,0,0,,Small,2025-07-15 13:35:20
DataVideo\A4574WAD.mp4,A574WAD,0,,0,0,0,,Small,2025-07-15 13:35:21
DataVideo\A4574WAD.mp4,A6574,0,,0,0,0,,Small,2025-07-15 13:35:27
DataVideo\A4574WAD.mp4,14576HD,0,,0,0,0,,Small,2025-07-15 13:35:55
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:20
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:21
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:21
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:22
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:23
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:24
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:24
DataVideo\B1170CKZ.mp4,B1170CKZ,0,,0,0,0,,Small,2025-07-15 13:36:25
